"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"City of Durham","NH3.3SC",2016-03-15,1200,21.4,"26.7",9.09,"6.84",175,16,"90.2","--","0.59","--",NA,"--",0.19,"2016"
"City of Durham","NH3.3SC",2016-04-12,1215,14.3,"18",8.76,"7.17",236,14.9,"32.8","0.54","0.23","--",0.77,"--",0.13,"2016"
"City of Durham","NH3.3SC",2016-05-10,1201,1.39,"1.37",6.69,"7.16",276,20.5,"8.64","0.33","0.33","--",0.66,"--",0.1,"2016"
"City of Durham","NH3.3SC",2016-06-14,1210,0.25,"0.23",6.94,"7.23",311,22.3,"7.86","0.42","0.37","--",0.79,"--",0.07,"2016"
"City of Durham","NH3.3SC",2016-07-12,1300,0.92,"12.5",5.7,"7.15",218,25.2,"13.9","0.82","0.22","--",1.04,"--",0.05,"2016"
"City of Durham","NH3.3SC",2016-08-09,1155,2.33,"2.41",6.3,"7",213,25.5,"9.29","0.83","0.3","--",1.13,"--",0.05,"2016"
"City of Durham","NH3.3SC",2016-09-13,1240,0.12,"0.11",4.44,"6.79",278,23.4,"3.39","0.52","E0.12","--",0.64,"--",0.08,"2016"
"USGS","209722970",2016-10-08,1515,865,"275",8.6,"6.8",55,20.3,"230","1.3","--","0.46",1.76,"--",0.337,"2016"
"City of Durham","NH3.3SC",2016-10-11,1325,1.67,"1.64",8.4,"7.15",167,16.6,"67.8","1.03","0.38","--",1.41,"--",0.15,"2016"
"City of Durham","NH3.3SC",2016-11-08,1255,0.73,"0.86",8.41,"7.3",285,12.9,"3.15","E0.28","0.16","--",NA,"--",0.08,"2016"
"USGS","209722970",2016-12-06,1340,5.5,"12",8.9,"7.2",437,10.1,"11","0.64","--","0.34",0.98,"--",0.104,"2016"
"USGS","209722970",2017-01-02,1245,68,"49.9",NA,"--",92,NA,"--","0.74","--","0.37",1.11,"--",0.275,"2017"
"City of Durham","NH3.3SC",2017-01-18,930,2.18,"2.23",9.7,"7.26",694,10.3,"9.81","0.4","0.24","--",0.64,"--",0.04,"2017"
"USGS","209722970",2017-01-23,630,160,"44.3",NA,"--",196,NA,"220","1.3","--","0.24",1.54,"--",0.361,"2017"
"USGS","209722970",2017-02-09,520,56,"16.8",NA,"--",237,NA,"160","0.95","--","0.3",1.25,"--",0.248,"2017"
"City of Durham","NH3.3SC",2017-02-22,910,1.47,"1.48",9.25,"7.22",383,11.7,"9.08","0.45","E0.06","--",0.51,"--",0.07,"2017"
"USGS","209722970",2017-03-01,2210,111,"15",NA,"--",206,NA,"300","1.5","--","0.33",1.83,"--",0.429,"2017"
